task_id,model,mean_pinball_loss
1,benchmark_official,7.185013440860215
1,baseline_empirical_climatology,3.2902156457043557
1,linear_qr,4.104179832442851
1,linear_qr__residual,4.097126765009795
1,lightgbm,5.200873986954439
1,lightgbm__residual,4.144260596600213
1,xgboost,5.471362889841842
1,xgboost__residual,3.910712218507276
1,linear_qr__ens_baseline,3.435535915438416
1,lightgbm__ens_baseline,3.7832776460073
1,xgboost__ens_baseline,3.922807568208905
2,benchmark_official,8.204583333333332
2,baseline_empirical_climatology,5.112351121071829
2,linear_qr,5.172718606604527
2,linear_qr__residual,5.144965427443876
2,lightgbm,5.645098923375227
2,lightgbm__residual,5.50755457525395
2,xgboost,5.484986070188386
2,xgboost__residual,5.604118761011817
2,linear_qr__ens_baseline,4.923666873158081
2,lightgbm__ens_baseline,4.977517245644591
2,xgboost__ens_baseline,4.9903347801306
3,benchmark_official,24.787567204301077
3,baseline_empirical_climatology,21.50810945842837
3,linear_qr,18.069576957529158
3,linear_qr__residual,17.653397736621887
3,lightgbm,16.815607393477105
3,lightgbm__residual,18.188730534834384
3,xgboost,16.4643398449137
3,xgboost__residual,16.89925200505588
3,linear_qr__ens_baseline,19.69142336349034
3,lightgbm__ens_baseline,19.060163673860163
3,xgboost__ens_baseline,18.840579784668428
4,benchmark_official,18.738373655913982
4,baseline_empirical_climatology,12.4946467917074
4,linear_qr,11.040253518688523
4,linear_qr__residual,10.480186411618039
4,lightgbm,9.953071593586285
4,lightgbm__residual,9.618660594183542
4,xgboost,10.058935373810785
4,xgboost__residual,9.470953466750792
4,linear_qr__ens_baseline,11.609466157079888
4,lightgbm__ens_baseline,10.882948763825615
4,xgboost__ens_baseline,10.747082229339343
5,benchmark_official,22.758482142857137
5,baseline_empirical_climatology,9.356353678150557
5,linear_qr,10.996808017785868
5,linear_qr__residual,10.719814525296258
5,lightgbm,12.175770341505121
5,lightgbm__residual,11.57193768022512
5,xgboost,11.860521541464419
5,xgboost__residual,12.122325331387396
5,linear_qr__ens_baseline,10.04210495954723
5,lightgbm__ens_baseline,10.417432307658105
5,xgboost__ens_baseline,10.346005965295008
6,benchmark_official,13.216263440860216
6,baseline_empirical_climatology,7.391306659878352
6,linear_qr,7.665570978753611
6,linear_qr__residual,7.673922039522567
6,lightgbm,7.742876507689824
6,lightgbm__residual,7.690706933934385
6,xgboost,8.105624919041091
6,xgboost__residual,7.8178252521187215
6,linear_qr__ens_baseline,7.286641303213365
6,lightgbm__ens_baseline,7.33175325119426
6,xgboost__ens_baseline,7.473298778029829
7,benchmark_official,8.362569444444444
7,baseline_empirical_climatology,4.735919594556678
7,linear_qr,5.2119803180186635
7,linear_qr__residual,5.172300241061257
7,lightgbm,4.960248699904548
7,lightgbm__residual,4.689045075836869
7,xgboost,4.896520296960924
7,xgboost__residual,4.59778906965136
7,linear_qr__ens_baseline,4.631689820671006
7,lightgbm__ens_baseline,4.621411748249098
7,xgboost__ens_baseline,4.623343833756281
8,benchmark_official,10.91619623655914
8,baseline_empirical_climatology,8.541271261675899
8,linear_qr,8.620126028079932
8,linear_qr__residual,8.66379330677834
8,lightgbm,7.876325421621659
8,lightgbm__residual,7.907926766883886
8,xgboost,7.974581996141486
8,xgboost__residual,8.159199885005027
8,linear_qr__ens_baseline,8.324553748339902
